stid,name,lat,lon,date_time,wind_speed,wind_direction
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T12:10:00Z,4.918,346.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T12:20:00Z,5.366,299.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T12:30:00Z,6.261,319.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T12:40:00Z,3.128,302.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T12:50:00Z,5.813,325.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T13:00:00Z,7.151,320.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T13:10:00Z,4.471,292.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T13:20:00Z,6.261,345.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T13:30:00Z,5.366,334.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T13:40:00Z,5.813,311.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T13:50:00Z,2.233,309.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T14:00:00Z,5.366,320.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T14:10:00Z,4.471,340.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T14:20:00Z,8.493,317.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T14:30:00Z,7.598,341.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T14:40:00Z,5.813,16.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T14:50:00Z,8.046,283.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T15:00:00Z,4.471,360.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T15:10:00Z,8.941,300.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T15:20:00Z,6.703,327.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T15:30:00Z,7.151,331.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T15:40:00Z,5.813,326.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T15:50:00Z,5.366,315.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T16:00:00Z,3.575,325.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T16:10:00Z,7.598,328.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T16:20:00Z,2.233,300.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T16:30:00Z,4.918,325.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T16:40:00Z,6.261,317.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T16:50:00Z,5.366,58.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T17:00:00Z,6.261,303.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T17:10:00Z,4.918,291.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T17:20:00Z,5.366,306.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T17:30:00Z,3.575,350.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T17:40:00Z,9.836,327.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T17:50:00Z,5.366,322.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T18:00:00Z,8.493,341.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T18:10:00Z,5.813,308.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T18:20:00Z,7.151,317.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T18:30:00Z,2.233,300.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T18:40:00Z,5.366,321.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T18:50:00Z,4.471,269.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T19:00:00Z,3.575,260.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T19:10:00Z,2.68,355.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T19:20:00Z,6.703,321.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T19:30:00Z,8.493,331.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T19:40:00Z,5.813,313.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T19:50:00Z,4.023,325.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T20:00:00Z,5.366,311.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-01T20:10:00Z,4.023,306.0
